Date,AT - Make,AT - Model,AT - User ID Cookie,Users
20160710,alfa romeo,giulia,id=86c385f9-dbd6-40ae-a534-daf2d85e64f2,4
20160710,volvo,s90,id=86c385f9-dbd6-40ae-a534-daf2d85e64f2,4
20160711,volvo,s90,id=86c385f9-dbd6-40ae-a534-daf2d85e64f2,4
20160713,porsche,cayman,id=ac7ea6e4-c4dc-4260-9388-52847428672c,4
20160722,seat,ateca,id=ea214d66-cf5d-47ee-811a-a35b293cae12,4
20160708,mercedes-benz,c class,id=1345759373984.436646.900,3
20160720,jaguar,f-type,id=d9bcddc8-b61e-48f3-a3b1-08cc79ab408b,3
20160731,volkswagen,beetle,id=86c385f9-dbd6-40ae-a534-daf2d85e64f2,3
20160701,ford,fiesta,id=1338702362505.408774.900,2
20160701,ford,fiesta,id=ad32d67c-5680-47de-95e7-0acd6670a936,2
20160701,hyundai,ix35,id=90091fd4-5e68-45a7-960a-9519b719ce6b,2
20160701,porsche,panamera,id=8624bb6f-2f58-4491-af3a-fd59ee297e78,2
20160702,bmw,x3,id=1421845586057.509690.900,2
20160702,ford,fiesta,id=392b6500-a724-47ce-957f-e1b29cf51e03,2
20160702,ford,focus,id=1406473088435.654675.900,2
20160702,honda,jazz,id=0bd526d4-15af-493a-a9bb-d217a875c1e3,2
20160702,volkswagen,scirocco,id=1382272892725.394323.900,2
20160702,volkswagen,up!,id=2776434a-2ab6-4934-b346-6269370e5d7b,2
20160702,volkswagen,up!,id=fd4508dc-3a7a-4fdc-ade0-038bc337a649,2
20160704,audi,s5,id=1371586784070.332390.900,2
20160704,ford,fiesta,id=1203371801774.64355.515,2
20160704,ford,fiesta,id=1352753335528.685064.900,2
20160704,ford,fiesta,id=1453019892160.907587.900,2
20160704,toyota,urbancruiser,id=1373576448235.546351.900,2
20160704,vauxhall,corsa,id=1291196407553.834903.556,2
20160704,volkswagen,up!,id=1400940577009.130382.900,2
20160705,audi,a5,id=1456821422780.910277.900,2
20160705,audi,rs5,id=1456821422780.910277.900,2
20160705,jaguar,xf,id=389bf79a-ef00-4343-b248-662fd537fbef,2
20160705,volkswagen,passat,id=ff5c7426-3bb5-4ded-ba05-eb61def1cbb4,2
20160706,bmw,1 series,id=1299537931975.588939.998,2
20160707,audi,a5,id=1379601587122.733312.900,2
20160708,audi,q2,id=1291332657110.809792.900,2
20160708,audi,q2,id=1351898311910.215370.900,2
20160708,audi,q2,id=1395128871935.67205.900,2
20160708,audi,q2,id=ac4de2dc-09c5-4195-b8d1-2addf3931dfb,2
20160708,audi,q2,id=d0a15736-238b-4b56-a975-363665a4a4bb,2
20160708,mini,convertible,id=1442956252474.520219.900,2
20160708,mini,countryman,id=902bf982-8183-4df3-b9a3-6c6c35c96903,2
20160708,porsche,macan,id=1398081882572.643649.900,2
20160709,audi,q2,id=1163273466669.604092.999,2
20160709,audi,q2,id=1233246415175.119609.998,2
20160709,porsche,911,id=4858d50e-a372-4d3f-9f2a-f90872044033,2
20160709,porsche,911,id=76426811-83ae-48a3-a3d6-52a649584fb3,2
20160709,porsche,911,id=a57a7498-14a8-49d1-bb8f-ea1ad580c108,2
20160709,volkswagen,up!,id=ecdf51cc-6ca4-4f09-9c8d-ca52bd966d5e,2
20160709,volvo,v90,id=9ff8756e-32a1-4543-85b7-9d44f83539f4,2
20160710,fiat,124 spider,id=219b4ec8-f530-4c95-b62b-651742d9c060,2
20160710,mini,hatch,id=7f995d8f-52ab-4088-86d3-14ca810b0594,2
20160710,porsche,911,id=a625121c-efeb-47e0-85e1-3bde2c842451,2
20160710,porsche,911 mk 991,id=df018364-80f2-4193-8ea2-a9c46049ab1f,2
20160711,audi,a6 allroad,id=1321476525340.237360.541,2
20160711,fiat,124 spider,id=1445028482656.512254.900,2
20160711,fiat,124 spider,id=1446299016414.789507.900,2
20160711,fiat,124 spider,id=37577.8922337963.710522.907,2
20160711,ford,focus,id=1382682863375.989704.900,2
20160711,kia,cee'd,id=1382682863375.989704.900,2
20160711,porsche,911,id=ab3542e4-8b69-4034-b4ac-7a7ce8a70a10,2
20160711,volvo,s90,id=d1b9815a-b7e7-4a27-adf8-75449743c869,2
20160711,volvo,v60,id=ca4343ee-70b1-45ca-aabd-98d77861f4a1,2
20160712,fiat,124 spider,id=219b4ec8-f530-4c95-b62b-651742d9c060,2
20160712,volvo,v50,id=1411935502164.403874.900,2
20160713,mercedes-benz,glc class,id=fd1ba476-6f17-401f-9cc6-6449479fbbe4,2
20160713,volvo,v90,id=8b73ff2e-4736-4ef2-beb3-3b678e638ce6,2
20160714,ford,focus,id=8ef30bd4-0e5c-4b20-b2f8-b16e92c3e1bd,2
20160714,nissan,pulsar,id=37348.8364236111.317501.1817,2
20160714,volvo,v70,id=1408032197891.215801.900,2
20160715,citroen,c3,id=0d40752e-acae-4a40-a763-824d9198d168,2
20160715,kia,cee'd,id=1148078658003.952522.999,2
20160715,seat,ateca,id=280c3a74-dbef-451e-ac63-fee6bb06e8c8,2
20160715,volvo,v90,id=280c3a74-dbef-451e-ac63-fee6bb06e8c8,2
20160716,ford,kuga,id=c63a9d02-e405-494a-8945-1a908a861ab6,2
20160716,honda,cr-v,id=1415198771281.274094.900,2
20160716,mercedes-benz,slc,id=86c385f9-dbd6-40ae-a534-daf2d85e64f2,2
20160717,ford,fiesta,id=aca13eb2-0e14-49f1-9764-a8454963754f,2
20160717,ford,fiesta,id=f56d1a53-9cc5-4293-a880-9e699e04c252,2
20160717,ford,kuga,id=7d66b187-c340-4a46-868e-6ed514dae67c,2
20160717,honda,civic,id=1304626178909.574090.998,2
20160717,lexus,is 250,id=1365853610724.928027.900,2
20160717,mercedes-benz,slc,id=15078973-1973-4d5f-b6bb-345d3eb31b4a,2
20160717,mercedes-benz,slc,id=56b04c9c-2bd6-47eb-9bcf-1d87ccfdda03,2
20160717,mitsubishi,shogun,id=1429439064912.194894.900,2
20160717,vauxhall,corsa,id=1424339087874.457838.900,2
20160718,audi,q2,id=af75a64b-20e8-4dff-86dd-e998e0d66e34,2
20160718,honda,nsx,id=1416100505874.384010.900,2
20160718,mazda,mx-5,id=1276761799656.57146.826,2
20160718,mercedes-benz,slc,id=2e46a83c-20c4-4a6a-b437-b12df2860517,2
20160718,renault,clio,id=966fc5c9-ec4a-4b37-af74-695686587b5a,2
20160718,skoda,octavia,id=02fddb7d-4657-4a09-b2ab-2e00cd1cb2c8,2
20160718,volkswagen,passat,id=138e35fc-5272-49b7-a338-a90ffe160588,2
20160718,volvo,xc90,id=1b33708b-712c-41a9-b12e-cf80333b61fa,2
20160719,audi,q2,id=af75a64b-20e8-4dff-86dd-e998e0d66e34,2
20160719,honda,nsx,id=5d12dfd5-27ca-4bef-a5b4-fae40793bb38,2
20160719,renault,megane,id=1340072238542.658273.900,2
20160719,suzuki,sx4,id=2e996d4b-3d22-417b-8c1f-015079444a78,2
20160720,ford,focus,id=6dcd9180-a483-4ed3-957b-71dcbfb9f4bc,2
20160720,ford,s-max,id=1453996098218.936868.900,2
20160720,jaguar,f-pace,id=d9bcddc8-b61e-48f3-a3b1-08cc79ab408b,2
20160720,mazda,mazda3,id=a1042fcf-0e6b-4e7e-bfed-0577e8dd513e,2
20160720,nissan,note,id=e6d640cd-3347-4b74-bbec-465d6cc08e4e,2
20160720,nissan,qashqai,id=1373576448235.546351.900,2
20160720,volvo,xc90,id=1453996098218.936868.900,2
20160721,bmw,4 series gran coupe,id=4bc126f3-5d64-4855-8b4e-7357d8563e68,2
20160721,ford,focus,id=e99b4f87-51a3-4da6-a62b-629293723cd6,2
20160721,volkswagen,up!,id=015f83b8-ad6d-4709-996e-a07361b293fd,2
20160721,volkswagen,up!,id=2ea0a142-0036-4dd2-8db4-a63b3a97886a,2
20160721,volkswagen,up!,id=2eaad929-be95-4c39-a3f1-b2f1b3321f2f,2
20160721,volkswagen,up!,id=382d9a57-3538-4480-bebd-14e1b414e214,2
20160721,volkswagen,up!,id=48479f4e-e189-4b05-a4f7-073c3c35a59d,2
20160721,volkswagen,up!,id=71c5aed7-7111-4a60-9937-388540a2ef55,2
20160721,volkswagen,up!,id=82f16279-6d53-48b7-b411-8c863a094957,2
20160721,volkswagen,up!,id=913ad050-cca4-412b-be40-a2192b0f0cb9,2
20160721,volkswagen,up!,id=95341d09-ffcf-43d5-bf47-0b2aecf5ca00,2
20160721,volkswagen,up!,id=95b8ef3c-b483-48c4-97be-a4cd380d2069,2
20160721,volkswagen,up!,id=c3bbfe46-97c2-410c-a653-962d0907d989,2
20160721,volkswagen,up!,id=c716197f-6111-47cd-bd7a-458ccdb42daa,2
20160721,volkswagen,up!,id=f6df133a-4fb9-43ce-8e5b-792fe5d3bdac,2
20160722,audi,a6 saloon,id=37546.870625.707104.772,2
20160722,ford,fiesta,id=106db4bb-71f1-4117-876a-3a258b2c5a8a,2
20160722,honda,nsx,id=cc2cac05-b9b1-46d9-a012-be76bdd8d4e9,2
20160722,volkswagen,up!,id=03792713-b502-4465-85bc-3871e395b4d8,2
20160722,volkswagen,up!,id=08b9115a-527c-4936-840a-af1eb1f9c285,2
20160722,volkswagen,up!,id=2a28757c-b123-480a-ac8f-ae5c59c7f5ec,2
20160722,volkswagen,up!,id=311a3d58-3006-492c-893c-56105f51d010,2
20160722,volkswagen,up!,id=4c8c8e66-7c77-4a94-982c-5b9575e74867,2
20160722,volkswagen,up!,id=768b5bbc-f2df-4b87-9925-e9915206265c,2
20160722,volkswagen,up!,id=7b9db09b-8233-485d-837e-534a59dfed7e,2
20160722,volkswagen,up!,id=93fe0769-0e2a-444a-8493-1cd1901f8173,2
20160722,volkswagen,up!,id=d6d7bbe2-934c-4874-9565-00a30b6ada90,2
20160722,volkswagen,up!,id=e8efeba8-9d43-4b9b-a502-c624129a37a5,2
20160722,volkswagen,up!,id=fd890e0b-7f3d-4e03-a705-2be360764c53,2
20160723,citroen,ds3,id=36756.4963541667.960,2
20160723,renault,clio,id=1320069301207.757376.900,2
20160723,renault,megane,id=71d34db5-8feb-492c-bab5-a21484ad90af,2
20160723,volkswagen,beetle,id=1393422634095.77312.900,2
20160723,volkswagen,up!,id=09cad1e0-9470-4982-aceb-c034ebe77980,2
20160723,volkswagen,up!,id=0aee5665-c155-40f5-93e0-54893386cd53,2
20160723,volkswagen,up!,id=1b6ab48e-97ff-4300-b3ad-6d8bd8c114e5,2
20160723,volkswagen,up!,id=281a8e1f-bddb-474e-8b60-fc48348b38b4,2
20160723,volkswagen,up!,id=578e2d70-053a-492b-8a6a-5e0c13f99c85,2
20160723,volkswagen,up!,id=5c874944-156e-4d89-a1de-3555a6851533,2
20160723,volkswagen,up!,id=6f849fae-1d20-41d8-b48d-042b10b8e455,2
20160723,volkswagen,up!,id=70393c75-217d-48e2-a57a-c641ec6542df,2
20160723,volkswagen,up!,id=7ef6fa06-7918-4d87-a702-6a66d3ad64ab,2
20160723,volkswagen,up!,id=8b67948c-20e2-4297-8a61-b171c56f2674,2
20160723,volkswagen,up!,id=943f40ae-f6ba-4d9f-8d35-376270e04d8a,2
20160723,volkswagen,up!,id=e53670ef-8808-4676-b1a9-088c392436da,2
20160723,volkswagen,up!,id=f9097690-0291-49e9-9aec-67634c5e4766,2
20160724,audi,a3,id=3a84ee61-7a75-458d-be8e-0d36a8303fe2,2
20160724,renault,megane,id=86c385f9-dbd6-40ae-a534-daf2d85e64f2,2
20160724,volkswagen,golf,id=f697dd48-89a4-4934-a2b7-c6dc8500b1e0,2
20160724,volkswagen,up!,id=bc21474e-6f63-4937-9034-cc82cdf7bf74,2
20160725,bmw,3 series,id=6503998d-ea7c-4937-9209-de31f5948f5c,2
20160725,citroen,ds3 cabrio,id=a4342872-41ff-4dbf-8c67-be76e6e1b139,2
20160725,hyundai,ioniq,id=1385442448222.242218.900,2
20160725,mini,clubman,id=1270833853787.426357.814,2
20160725,volkswagen,up!,id=0665bf1c-3a8f-4ac3-9aba-66f707962a61,2
20160726,volkswagen,scirocco,id=1373757973180.610352.900,2
20160727,audi,rs3,id=ceb0418a-1a19-4c09-bbe4-447cb9c8cfa8,2
20160727,ford,fiesta,id=bd532c2a-1f7e-44b0-97fe-2a99fac95099,2
20160727,mazda,mazda3,id=1357833823990.113220.900,2
20160727,renault,megane,id=4c29b9bd-4d88-4ab9-aa7a-326073639a4f,2
20160727,vauxhall,mokka,id=1351346614953.188698.900,2
20160727,volkswagen,cc,id=082cbc9d-d92a-46d5-9328-e3b29e9b0f4f,2
20160728,ford,fiesta,id=13b1e127-0bf5-493d-a64a-0814c6e6192b,2
20160728,peugeot,308,id=1388421335734.74388.900,2
20160728,suzuki,swift,id=1319141631246.860000.211,2
20160728,toyota,hilux,id=86c385f9-dbd6-40ae-a534-daf2d85e64f2,2
20160728,volkswagen,up!,id=5b8b4279-6910-4b42-a970-f71576940ee5,2
20160729,ford,fiesta,id=f71cb5b7-fde5-4b7f-bfda-0bb2255d4585,2
20160729,ford,s-max,id=1286377270148.50767.948,2
20160729,honda,nsx,id=1303881441249.710611.24,2
20160729,honda,nsx,id=1414146480896.609093.900,2
20160729,mercedes-benz,a class,id=1439229328203.866925.900,2
20160729,mitsubishi,outlander,id=38c4ac87-8c19-473e-bd40-0a4bca11d305,2
20160729,nissan,qashqai,id=1443319852964.355173.900,2
20160729,toyota,hilux,id=2f6db7ca-eba8-4ca9-b6ad-d3d63c6f43c9,2
20160729,vauxhall,astra,id=1452349960254.512384.900,2
20160729,volkswagen,scirocco,id=1389391644137.327890.900,2
20160729,volkswagen,up!,id=1285924734300.393157.900,2
20160730,ford,fiesta,id=7525cfdd-1dd2-443f-b01a-ca150c1904f6,2
20160730,land rover,range rover evoque,id=1137359543103.223110.999,2
20160730,volkswagen,beetle,id=86c385f9-dbd6-40ae-a534-daf2d85e64f2,2
20160730,volkswagen,up!,id=98d8cfdb-ab51-470f-944e-123a42da0fe5,2
20160731,jaguar,xf,id=1371335865549.904313.900,2
20160731,toyota,hilux,id=55857ace-c7c5-45d0-a3b3-5c53a565cb1d,2
20160731,volkswagen,up!,id=8b63d607-fdb9-4dd8-aac8-53769ee54f48,2
20160701,abarth,500,id=2332fb22-74d6-414a-bb56-e0b5ef8fe325,1
20160701,abarth,500,id=4b9194dc-b411-4a85-9f30-4949c61aa905,1
20160701,abarth,500,id=5ef5a663-7799-4bfc-a1b3-cb030ee86ab8,1
20160701,abarth,500,id=c420632f-46c1-459f-a435-62f176b658e2,1
20160701,abarth,500,id=e3572f3d-1db9-461e-8664-3a9949fb0e3a,1
20160701,abarth,500,id=e38eba4c-5926-4a2e-8903-882a651a72e1,1
20160701,abarth,500,id=f9cdc19b-95a4-46e9-a22b-2140da2063e1,1
20160701,abarth,500c,id=203a93dd-367b-49c8-ab1f-03e8897b3c80,1
20160701,abarth,500c,id=274701f3-4f9e-417d-b404-32a67ea10c3f,1
20160701,abarth,500c,id=44134d90-f211-4b57-90a0-a9e70d73e592,1
20160701,abarth,500c,id=d021d6e6-522a-4fbd-a852-620db08fb3eb,1
20160701,abarth,500c,id=e71acf47-8ad5-4fb0-a06d-2edb5144ceac,1
20160701,abarth,punto evo,id=814bcb3a-4457-4e3f-81b0-52b15d27d2a5,1
20160701,alfa romeo,159,id=2f8b5e5e-f67b-4ceb-b0d3-5035f17154bc,1
20160701,alfa romeo,159,id=3325cb1f-e717-4a9a-a40d-162694743f0a,1
20160701,alfa romeo,159,id=5a998903-cb49-40fb-a71c-ebeddb6f828f,1
20160701,alfa romeo,159,id=f41ee185-0cbc-4179-96e9-d10b41916195,1
20160701,alfa romeo,159 sportwagon,id=1451342708993.698628.900,1
20160701,alfa romeo,159 sportwagon,id=2ebcf5fd-1f87-4c85-b4b7-da4b14420909,1
20160701,alfa romeo,159 sportwagon,id=ffaed51f-0814-4104-9832-5b10aa3a934e,1
20160701,alfa romeo,4c,id=3bd1bedd-da61-4bc5-9268-ebb0a5cd176a,1
20160701,alfa romeo,brera,id=075ea17a-e2ce-4d2d-b48a-b39790106778,1
20160701,alfa romeo,brera,id=1451342708993.698628.900,1
20160701,alfa romeo,brera,id=1fe3fcc6-0071-495f-9958-e04415c360c5,1
20160701,alfa romeo,brera,id=21b3c7ec-7f67-4e81-bb5f-e4bfb780b8c5,1
20160701,alfa romeo,brera,id=24f0a086-bf47-4a80-a578-dd19c958eceb,1
20160701,alfa romeo,brera,id=29d947d2-c4d6-40e2-ba91-52ebb25e4854,1
20160701,alfa romeo,brera,id=2eae92d1-0ed2-4578-982e-bbf5a7719a97,1
20160701,alfa romeo,brera,id=48892f1a-74a7-4022-a696-dd8ded1fbd87,1
20160701,alfa romeo,brera,id=82c5601b-380c-47d2-ae4c-c8d7dd1c23cf,1
20160701,alfa romeo,brera,id=88d9faeb-e2d6-4d65-9812-e401f32f8f64,1
20160701,alfa romeo,brera,id=8908da73-90cd-4b84-b562-cb1dcab66b65,1
20160701,alfa romeo,brera,id=8b9c57e5-f816-4915-b8f7-b7cf40800840,1
20160701,alfa romeo,brera,id=aae7aaf5-5297-4228-bb2e-d85dc5103660,1
20160701,alfa romeo,brera,id=b26b43d2-5c83-4e9b-823e-dd1b4bd558df,1
20160701,alfa romeo,brera,id=c7a5c5e6-73a8-4692-9cab-d21bbb3a5c08,1
20160701,alfa romeo,brera,id=d78d6070-d22f-40ca-b715-dd7b0aceb1cd,1
20160701,alfa romeo,brera,id=d985a2b3-f93f-49b2-9e64-2afb90b2ff86,1
20160701,alfa romeo,brera,id=ef92669f-5b90-44aa-b6a1-087991120fbf,1
20160701,alfa romeo,giulia,id=00831ab3-ac3b-4c4b-b8ea-b27fd08c8a34,1
20160701,alfa romeo,giulia,id=00a1bdcc-74a9-48ae-aa43-2f7156d8decf,1
20160701,alfa romeo,giulia,id=0114052b-5167-47e7-b746-ec95a6f3dfbe,1
20160701,alfa romeo,giulia,id=012762aa-f66f-426e-b593-14a650dad6ae,1
20160701,alfa romeo,giulia,id=034b7903-73a6-4dba-ac9b-a5a85c467df6,1
20160701,alfa romeo,giulia,id=063a0a04-0666-4fa1-b44c-1a3cc6a67502,1
20160701,alfa romeo,giulia,id=0800b3f0-6a48-4114-9731-0c1f27129a2e,1
20160701,alfa romeo,giulia,id=099bba13-1941-452c-9379-511cddaeaae2,1
20160701,alfa romeo,giulia,id=0d58ea52-9701-4b68-8c1e-27f8e1afb3f8,1
20160701,alfa romeo,giulia,id=0f9bc5e0-3b76-498c-9003-6689738d38fa,1
20160701,alfa romeo,giulia,id=102e2589-571f-485d-8b3a-af24777df373,1
20160701,alfa romeo,giulia,id=103df774-6a59-4010-8a0b-06a2e7d0295e,1
20160701,alfa romeo,giulia,id=1231116822290.485564.97,1
20160701,alfa romeo,giulia,id=125b037b-9190-4840-abb9-c2c4a28866ec,1
20160701,alfa romeo,giulia,id=12740af9-cf11-4c5a-96e0-49873347ccc3,1
20160701,alfa romeo,giulia,id=12f23857-585e-42df-9505-69cd5e167546,1
20160701,alfa romeo,giulia,id=1307778159650.839555.998,1
20160701,alfa romeo,giulia,id=1323345307383.554213.900,1
20160701,alfa romeo,giulia,id=1345312942174.30016.900,1
20160701,alfa romeo,giulia,id=1368741401319.161614.900,1
20160701,alfa romeo,giulia,id=137aeb50-fd23-4cf4-b6e1-59b5ae171e7c,1
20160701,alfa romeo,giulia,id=1412717532083.682306.900,1
20160701,alfa romeo,giulia,id=1425354009392.484172.900,1
20160701,alfa romeo,giulia,id=1426624939876.174968.900,1
20160701,alfa romeo,giulia,id=1435850438733.620424.900,1
20160701,alfa romeo,giulia,id=1446331650749.21254.900,1
20160701,alfa romeo,giulia,id=1450165209974.283465.900,1
20160701,alfa romeo,giulia,id=15a55695-3e0e-4ff7-a7f6-120a2c63a4d2,1
20160701,alfa romeo,giulia,id=15cd88de-443b-42ec-bad9-08e25d0dc30a,1
20160701,alfa romeo,giulia,id=15d7f213-e692-4cad-9998-f84b3111aa3b,1
20160701,alfa romeo,giulia,id=16c232b0-cd88-4cea-89ee-32f70eacc186,1
20160701,alfa romeo,giulia,id=171354ee-a9df-4cea-9405-0664804fbc73,1
20160701,alfa romeo,giulia,id=18144901-58e6-45bb-b4ab-fa404fac49e9,1
20160701,alfa romeo,giulia,id=18a97a7c-3524-41ce-b240-c7d8ec6e8abc,1
20160701,alfa romeo,giulia,id=1a6cafd1-ce2c-43bb-91e0-0ec33c926e1e,1
20160701,alfa romeo,giulia,id=1b5216b6-b3c1-4365-8627-7257c784f202,1
20160701,alfa romeo,giulia,id=1c4f8f56-4d6c-4b42-8bfb-45e50595fb8a,1
20160701,alfa romeo,giulia,id=1c9ad9f1-f163-4370-a103-df80a5424bb0,1
20160701,alfa romeo,giulia,id=1df7a9b6-5633-4b71-9e85-dba022e1c69f,1
20160701,alfa romeo,giulia,id=1e5d336c-1c7e-4bbe-9d70-dd1c91321e92,1
20160701,alfa romeo,giulia,id=1f0934e1-7eba-492a-b636-0b1d8787cd58,1
20160701,alfa romeo,giulia,id=1fc5849c-6af0-4524-a34b-36a713151a78,1
20160701,alfa romeo,giulia,id=2025d8ad-8ec5-445a-aeb0-346b4b963692,1
20160701,alfa romeo,giulia,id=202d8ba9-674e-4c36-aec7-43e2d55b7c90,1
20160701,alfa romeo,giulia,id=20927c48-dab8-4f47-ae0d-271e6d8b9e2a,1
20160701,alfa romeo,giulia,id=238fcd0c-a65c-4b4d-89c0-403ed9f5417a,1
20160701,alfa romeo,giulia,id=23e410d1-77a1-4c78-9f9d-9ee52b5dd675,1
20160701,alfa romeo,giulia,id=26384380-24cd-4cdb-8814-3970a03e69f6,1
20160701,alfa romeo,giulia,id=267385a2-f759-4eb2-a1da-80245b19187c,1
20160701,alfa romeo,giulia,id=26b14326-5ab5-4db1-a8ce-3747d211cdf8,1
20160701,alfa romeo,giulia,id=28569ddb-00ce-42cf-a2cd-05849db7e382,1
20160701,alfa romeo,giulia,id=28e5a456-b9cb-486d-9677-cd93277657b4,1
20160701,alfa romeo,giulia,id=2a9bd798-3e28-41e7-81df-fce19dd159b4,1
20160701,alfa romeo,giulia,id=2e165c54-0cd0-43c8-84be-1f5bddd47b1b,1
20160701,alfa romeo,giulia,id=2f373f91-eea7-4c92-85c8-9f90550e546d,1
20160701,alfa romeo,giulia,id=30eafdb0-1834-48bf-991a-0fabad579c88,1
20160701,alfa romeo,giulia,id=328efc99-b24d-4291-b301-1c42c4aceff8,1
20160701,alfa romeo,giulia,id=32de79dd-5a91-47ee-bd96-807e7ae109a0,1
20160701,alfa romeo,giulia,id=359f7975-fbae-4673-a019-ee8c1e9ee409,1
20160701,alfa romeo,giulia,id=36788.9287384259.125,1
20160701,alfa romeo,giulia,id=380a94ba-77ab-4f58-9fac-d5fc2d3e60ba,1
20160701,alfa romeo,giulia,id=383f3a08-a7ea-4950-96ac-18bfba9be6b6,1
20160701,alfa romeo,giulia,id=38ff6989-a196-47a7-9a27-bd386fb66ad2,1
20160701,alfa romeo,giulia,id=39521d9d-4231-40bb-9ec6-04860424c1c9,1
20160701,alfa romeo,giulia,id=39a99c02-cbaa-4009-9fe3-684b95106d45,1
20160701,alfa romeo,giulia,id=39acb682-ea63-4c25-a8e9-02b3b9e60ef9,1
20160701,alfa romeo,giulia,id=3c9e6f1a-c39f-44db-af2b-1a0c499de138,1
20160701,alfa romeo,giulia,id=3d048396-41bd-43bd-8dee-dee4130f2ad0,1
20160701,alfa romeo,giulia,id=3eea57e0-f7d9-42c4-ab42-6f6e6df9654d,1
